month,value
2016-09-01,35843
2016-10-01,35749
2016-11-01,36195
2016-12-01,47554
2017-01-01,34422
2017-02-01,35497
2017-03-01,37899
2017-04-01,39225
2017-05-01,39679
2017-06-01,41454
2017-07-01,38073
2017-08-01,37099
2017-09-01,38047
2017-10-01,38333
2017-11-01,38848
2017-12-01,51197
2018-01-01,39017
2018-02-01,40443
2018-03-01,42364
2018-04-01,43381
2018-05-01,44076
2018-06-01,45848
2018-07-01,42413
2018-08-01,41364
2018-09-01,41774
2018-10-01,42332
2018-11-01,42595
2018-12-01,55569
2019-01-01,42263
2019-02-01,43062
2019-03-01,46324
2019-04-01,48030
2019-05-01,47926
2019-06-01,49348
2019-07-01,46509
2019-08-01,44961
2019-09-01,45541
2019-10-01,46549
2019-11-01,46285
2019-12-01,62239
2020-01-01,46674
2020-02-01,47257